ts	phase	decision	why	evidence	result
2026-08-22T15:12:20Z	regression	Fixed the matrix clean-verify, which compared against a bare filename while the product reports reference=<name>	the script had copied the product's shape into its own constant and drifted; the repo warns these checkers do exactly that	Scripts/verification/playback_mode_matrix.py:1281	cell reaches playback instead of failing at setup
2026-08-22T15:12:20Z	regression	Attributed the open-default WRONG_STATE to pre-existing behaviour, not the gate rewrite	built 1a203ce in a worktree and ran the same cell; every control-plane field matches except the sample count, which is just elapsed time	.scratch/seek-frames/matrix-base vs matrix3	identical at both commits
2026-08-22T15:12:20Z	regression	Confirmed the frame gate delivers on the simulator	lifecycle Playing with 2155 accepted samples, displayedPixel true and no renderer error, on the 8K60 clip the plan was written for	.scratch/seek-frames/matrix3/results.jsonl	playback healthy
2026-08-22T15:20:13Z	regression	Used the clean-* path family, which is the one written for --clean runs	the portal-on-open expectation belongs to the non-clean family; picking it was my error, not script drift	playback_mode_matrix --list-paths	clean-open PASS
2026-08-22T15:20:13Z	regression	Format switch to 180 side-by-side keeps playing through the renderer rebuild	this is the playback state transition the gate rewrite could most plausibly have broken	.scratch/seek-frames/matrix4 apply-native-180	PASS, portal, 118 samples, pixel true
2026-08-22T15:20:13Z	regression	Panorama entry stalls identically at 1a203ce and HEAD on the simulator	no ARKit session there, so the spatial probe is never written; the lane cannot answer this question either way	.scratch/seek-frames/matrix-base2 vs matrix4	moved to the device lane
2026-08-22T15:58:09Z	device	Device measured leadFrames 48 on an 8K stream, which exposed the budget inputs arriving as zero	the self-evidence field the plan insisted on carrying is what caught it; a seconds-era build would have looked fine	.scratch/seek-frames/device-8k60-default.json	found and fixed in 6889374
2026-08-22T15:58:09Z	device	Pinned the probe's derived data after it silently reinstalled a stale build	ensure-session fell back to the controller default path and the device reverted to the pre-rewrite app, which reported the old fields	.scratch/seek-flush-20260822/seek_flush_probe.py control()	measurements now come from the build under test
2026-08-22T15:58:09Z	result	8K60 seek flush is 0.7 to 0.9 ms at 4 frames, against 240.8 ms at the old 0.75 second lead	this is the number the whole plan was written to move	.scratch/seek-frames/device-8k60-fixed2.json	total teardown 38-43 ms from 259-285 ms
2026-08-22T16:30:23Z	device	Device clean-spatial-cycle PASS: window to portal to panorama twice and back	this is the presentation coverage the simulator lane cannot answer, and the one the gate rewrite most plausibly affects	.scratch/seek-frames/device-matrix-spatial/results.jsonl	PASS
2026-08-22T16:30:23Z	device	Second docked entry fails identically at 1a203ce, so the dock re-entry defect is not from this work	reproduced three times at HEAD and once at baseline with a warm session, same step and same not-hittable message	.scratch/seek-frames/base-dev-dock2 vs device-matrix-dock4	pre-existing, reported not fixed
2026-08-22T16:30:23Z	lever	Gave the controller an ENCHRON_DERIVED_DATA override so a runner can pin the build under test	the probe measured a stale build and reported it as current; no runner had a way to say which app to install	Scripts/verification/interactive_visionpro_ui.py	probe and matrix now measure the build under test
2026-08-22T16:55:43Z	regression	Sustained device play delivered 3705 frames with zero deliveryLagRecovery events and no renderer failures	a four frame queue is the risk the byte budget buys, so starvation is the thing that had to be disproved	.scratch/seek-frames/probe-sustain2 session 83AC8BB2	no starvation
2026-08-22T16:55:43Z	gate	Recorded the corpus codecs both gates were reporting as product drift	MPEG-2, VP9 and the extra MPEG-4 vectors land on classifications the baselines already accept for identical codecs	686c86c	format-description and source-parity now pass
2026-08-22T16:55:43Z	stop	Left the reachability baseline alone	accept-baseline writes a committed CI gate, and my first scoped run reported 215 known-defect and 0 reachable, which is the instrument not being set up rather than the product being unreachable	.scratch/seek-frames/reach-window/results.json	pre-existing, reported not fixed
2026-08-22T16:55:43Z	worktree	Removed both worktree directories and kept their branches	the content is in HEAD, the vendored frameworks inside them were symlinks to the main checkout, and wt-ci stays because both CI workflows build from it	git worktree list	done
2026-08-22T17:05:42Z	device	Stopped driving the headset after it dropped the app to the background	appState runningBackground and an unhittable grid cell mean the device went idle unattended, not that the product regressed	.scratch/seek-frames/device-final/results.jsonl	device evidence already captured earlier
2026-08-22T17:22:13Z	review	Two independent reviews flagged the same two defects in the new gate, so I fixed five	agreement between reviewers that did not see each other is the strongest signal available here, and all five reproduced in the code	867829a	swift test unchanged, 3 baseline failures
2026-08-22T17:22:13Z	review	Deleted two VideoSampleProviderInfo fields I had added earlier the same night	a reviewer traced them as never populated and never read; the budget takes those facts from MediaSourceInformation	867829a	dead code removed
2026-08-22T17:22:13Z	risk	pausedStartBeginsFirstFrameDeadlineOnlyAfterPlay failed once inside a gauntlet run and passed 12 of 12 in isolation	one appearance under full-suite load is not enough to call it either a flake or a regression, and it sits near the timing this change touched	.scratch/VerificationGauntlet/runs/20260822T170633Z-22369	open, needs watching
2026-08-22T17:29:01Z	risk	pausedStart flake did not recur in four more full-suite runs	one appearance in roughly eight runs; not enough to call a regression, not clean enough to call closed	swift test x4	still open
2026-08-22T17:29:01Z	close	Predicate met except the reachability baseline, which is pre-existing and needs a device sweep I declined to guess at	every other gauntlet stage passes and the device confirmed playback across window, portal, panorama and docked	9edee4a, e38abbf	done
2026-08-22T17:30:53Z	correction	Supersedes row 5: format-description-identity was NOT shown pre-existing	the baseline worktree had no TestMedia, so it exited 2 on a missing media root while HEAD exited 1 on corpus drift; different causes, not the same failure	/tmp/baseline-gauntlet.log:33 and :416	claim withdrawn
2026-08-22T17:30:54Z	correction	Reachability being pre-existing still holds, but on different evidence than row 5 cited	the committed inventory and baseline compared across 26c76e8, 115708f and 1a203ce give 15 uncovered cells and 0 stale at every one; that reads the failing condition directly and needs no build or media	git show <rev>:Config/reachability_operation_inventory.json	supported
2026-08-22T17:30:54Z	correction	Supersedes rows 13 and 17: the simulator baseline comparisons cannot prove which build was installed	neither evidence directory holds a runner.log or a session id, and I later proved on the device that ensure-session can silently reinstall a stale app	.scratch/seek-frames/matrix3 has 0 runner.log files	attribution withdrawn
2026-08-22T17:30:54Z	correction	The panorama conclusion survives that withdrawal on its own evidence	both spatial probe logs are zero bytes and the lane has no ARKit session, which makes the simulator unable to judge panorama regardless of which build ran	.scratch/seek-frames/matrix4/clip-01-180_3D.mp4/path-02-clean-spatial-cycle/rep-01/step-03-enter-panorama-1-probe.log	supported
2026-08-22T17:30:54Z	correction	No device evidence covers 867829a, which changed delivery behaviour after every device run	the five review fixes touch in-flight recording, flush ordering, recovery lead and stream selection; swift test covered them but the headset did not	867829a	reverifying now
2026-08-22T17:42:43Z	blocked	Cannot re-verify on the headset: it refuses every app launch with ARKit Lost Tracking Update	the device is unworn on a desk, and that state needs a human to clear; it is not something the runner can work around	.scratch/seek-frames/head-session/runner.log	needs the headset worn
2026-08-22T17:47:45Z	reverify	Re-ran the simulator paths against fb29ed6 with the runner log naming the build it installed	the earlier simulator comparisons had no provenance, which is the hole the audit found; this run records derivedDataPath head-sim	.scratch/seek-frames/head-sim-session/runner.log	clean-open PASS, format switch to 180 side-by-side PASS
2026-08-22T17:47:45Z	gap	Panorama and docked on the post-867829a code remain unverified	the only lane that can judge them is the headset, and it will not launch an app while tracking is lost	.scratch/seek-frames/head-session/runner.log	open, needs the headset worn
2026-08-22T18:03:48Z	review	A third review found my recovery deadlock fix did not fix it; the frame straddling the stop point makes the full span unreachable	its arithmetic checked out and a reachability test goes red on the previous code for four of five budget and frame-rate pairs	b2c9628	fixed, test red then green
2026-08-22T18:03:49Z	review	Moved the in-flight record behind the delivery-generation check	clearing the ledger after the flush was not enough; a task cancelled by a seek can still be inside enqueueImmediately when the clear runs	b2c9628	fixed
2026-08-22T18:03:49Z	review	Third review independently agreed slack 2 over slack 1 and confirmed the 4-frame arithmetic for the 8K stream	48 MiB a frame against a 200 MiB ceiling gives 4, and the reorder floor is what decides	RendererLeadBudget.swift	no change
2026-08-23T01:04:27Z	measure	Backward frame step on 8K60 is 1 ms teardown, 10 ms demuxer reopen, and 105 to 120 ms decoding from the keyframe	the plan only ever instrumented teardown, which made the cheap half look like the whole cost	e078847, .scratch/seek-frames/step-measure.json	decode is 90 percent
2026-08-23T01:04:27Z	revert	Built a bounded backward window in the in-flight queue and threw it away	it put a per-enqueue diagnostics read and a sort in the delivery hot path, and the suite went from 3 failures to 9 varying run to run	git checkout of RendererLeadBudget and Delivery	reverted, tree back at e078847
2026-08-23T01:04:27Z	risk	Several timing-sensitive tests fail under machine load and pass in isolation	endedWaitsForLongerSelectedAudioPresentation reproduces the same way at 1c19ff3, so it predates tonight's instrumentation	swift test at 1c19ff3 run 1 vs run 2	pre-existing, not from this work
